sampleID,Kartez,family,genus_new,species_new,genus_old,species_old,Native,PhotoPath,LifeHistory,FunctionalGroup,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,sla,ldmc,lf_petiole_ind,lf_iso_mass,lf_iso_d15N,lf_iso_d13C,lf_iso_pN,lf_iso_pC,lf_iso_CN,stem_wet_mass,stem_length,stem_diam_1,stem_diam_2,root_wet_mass,root_length,root_diam_1,root_diam_2,stem_dry_mass_1,stem_dry_mass_2,sdmc,sdens,root_dry_mass_1,root_dry_mass_2,rdmc,rdens,fine_root_length_sum,fine_root_p95_diam,fine_root_volume_sum,fine_root_wet_mass,fine_root_dry_mass,fr_dmc,srl,fr_dens,seed_mass_sum,seed_n,seed_mass
386,DABR,Fabaceae,Dalea,brachystachya,Dalea,brachystachya,y,C3,a,f,core_PJ,1.10709456,15,TRUE,0.0247,0.0045,246.0210133,0.182186235,FALSE,NA,NA,NA,NA,NA,NA,0.0045,16.1,0.3,0.2,0.0038,16.8,0.1,0.3,0.0015,0.0014,0.311111111,0.001748156,0.0011,0.0011,0.289473684,0.0019238530000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,DABR,Fabaceae,Dalea,brachystachya,Dalea,brachystachya,y,C3,a,f,core_PJ,1.56644848,15,TRUE,0.0419,0.0074,211.682227,0.176610979,FALSE,1.674,-2.152242857,-28.17271429,3.106567546,49.47802796,15.92691201,0.0059,15.3,0.3,0.4,0.0038,11.9,0.2,0.4,0.0017,0.0016,0.271186441,0.001079589,0.0015,0.0011,0.289473684,0.001261013,NA,NA,NA,NA,NA,NA,NA,NA,2.02,3,0.673333333
647,DABR,Fabaceae,Dalea,brachystachya,Dalea,brachystachya,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.27843993,0.044597208,0.017733657,14.13,0.866,0.06128804,0.060650884,48.83369499,NA,NA,NA
648,DABR,Fabaceae,Dalea,brachystachya,Dalea,brachystachya,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.652797836,0.053463186,0.009302895,6.74,0.658,0.097626113,0.098905756,70.73066874,NA,NA,NA
1,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_black,NA,NA,NA,NA,0.0038,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_black,NA,NA,NA,NA,0.0034,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.272,20,0.1636
27,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_black,NA,NA,NA,NA,0.0058,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.001,4,0.25025
42,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_black,0.68903088,5,TRUE,0.011,0.0039,176.6745846,0.354545455,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0027,0.0031,NA,NA,0.002,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.691,8,0.211375
44,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_black,0.72838564,5,TRUE,0.0122,0.0044,165.5421909,0.360655738,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023,0.002,NA,NA,0.003,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.968,14,0.212
117,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_blue,0.83354672,5,TRUE,0.0119,0.0046,181.2058087,0.386554622,FALSE,NA,NA,NA,NA,NA,NA,0.0039,5.9,0.4,0.4,9e-4,23.4,0.1,0.1,0.0014,0.0012,0.307692308,0.001618526,1e-4,1e-4,0.111111111,5.4412e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.365,15,0.157666667
146,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_creosote,1.00709476,5,TRUE,0.015,0.0059,170.6940271,0.393333333,FALSE,2.185,-0.463242857,-15.43771429,1.027185958,42.07044474,40.95698973,0.0049,6.3,0.4,0.1,0.0035,39.7,0.1,0.1,0.002,0.0016,0.326530612,0.004619467,0.0018,0.0015,0.428571429,0.004810733,NA,NA,NA,NA,NA,NA,NA,NA,1.719,10,0.1719
148,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_creosote,0.88774016,6,TRUE,0.0143,0.0053,167.4981434,0.370629371,FALSE,1.801,0.488757143,-15.86971429,1.245817149,44.04292296,35.35263823,0.0067,9.5,0.7,0.4,0.0016,20.6,0.1,0.1,0.0028,0.0027,0.402985075,0.001167317,1e-4,1e-4,0.0625,6.18078e-4,NA,NA,NA,NA,NA,NA,NA,NA,0.642,4,0.1605
216,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_creosote,0.94386908,5,TRUE,0.0163,0.0065,145.2106277,0.398773006,FALSE,2.267,0.011757143,-15.65671429,0.892107964,43.59178363,48.86379834,0.0039,7.4,0.2,0.4,0.0035,59.7,0.1,0.1,0.0016,0.0014,0.358974359,0.002580893,0.0019,0.0015,0.428571429,0.003199097,NA,NA,NA,NA,NA,NA,NA,NA,3.593,20,0.17965
217,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_creosote,0.61161168,4,TRUE,0.0122,0.0052,117.6176308,0.426229508,FALSE,NA,NA,NA,NA,NA,NA,0.0025,8.8,0.2,0.2,0.0049,43.2,0.1,1,9e-4,6e-4,0.24,0.002170297,0.0012,0.0012,0.244897959,9.56e-5,NA,NA,NA,NA,NA,NA,NA,NA,1.359,14,0.097071429
217,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_creosote,0.61161168,4,TRUE,0.0122,0.0052,117.6176308,0.426229508,FALSE,NA,NA,NA,NA,NA,NA,0.0025,8.8,0.2,0.2,0.0049,43.2,0.1,1,9e-4,6e-4,0.24,0.002170297,0.0012,0.0012,0.244897959,9.56e-5,NA,NA,NA,NA,NA,NA,NA,NA,3.286,17,0.193294118
630,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.68614355,0.042317016,0.052141299,62.84,10.26,0.163271801,0.210737579,196.7730052,NA,NA,NA
631,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.46128883,0.035372927,0.040763879,37.22,8.95,0.240462117,0.284476585,219.5571248,NA,NA,NA
632,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.66746757,0.041068971,0.085750542,113.42,14.421,0.127146888,0.178770952,168.1738646,NA,NA,NA
155A,DAPU7,Poaceae,Erioneuron,pulchellum,Dasyochloa,pulchella,y,C4,p,g,core_creosote,0.36193476,5,TRUE,0.0054,0.0018,201.0748667,0.333333333,FALSE,NA,NA,NA,NA,NA,NA,0.0045,7,0.2,0.5,0.0028,28.5,0.1,0.1,0.0014,0.0012,0.266666667,0.001678999,0.0012,9e-4,0.321428571,0.00402076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,1.45870676,4,TRUE,0.0144,0.0024,607.7944833,0.166666667,FALSE,2.225,0.541757143,-27.20571429,2.152981529,45.09089307,20.94346489,0.0017,13.1,0.1,0.1,NA,NA,NA,NA,2e-4,1e-4,0.058823529,9.71939e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,3,0.081666667
83,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,1.25096524,5,TRUE,0.0116,0.0018,694.9806889,0.155172414,FALSE,NA,NA,NA,NA,NA,NA,0.0034,23.6,0.1,0.2,0.0015,10.6,0.2,0.2,6e-4,5e-4,0.147058824,0.00115609,1e-4,1e-4,0.066666667,3.00293e-4,NA,NA,NA,NA,NA,NA,NA,NA,1.45,20,0.0725
84,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,2.24967292,5,TRUE,0.0177,0.0026,865.2588154,0.146892655,FALSE,2.598,0.502757143,-28.75071429,1.790180805,44.80003334,25.02542381,0.0024,22.4,0.1,0.1,0.0011,12.5,0.1,0.3,0.001,4e-4,0.166666667,0.002273644,1e-4,1e-4,0.090909091,2.3506e-4,NA,NA,NA,NA,NA,NA,NA,NA,1.115,17,0.065588235
89,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,0.81870804,5,TRUE,0.0117,0.0015,545.80536,0.128205128,FALSE,NA,NA,NA,NA,NA,NA,0.0021,12.9,0.1,0.2,6e-4,13.1,0.1,0.1,6e-4,2e-4,0.095238095,8.46007e-4,2e-4,1e-4,0.166666667,9.71939e-4,NA,NA,NA,NA,NA,NA,NA,NA,0.676,7,0.096571429
92,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,0.96838516,5,TRUE,0.01,0.0023,421.0370261,0.23,FALSE,1.278,-0.115242857,-27.13671429,2.844739867,44.72559854,15.72221034,0.0012,11.5,0.1,0.2,5e-4,7.1,0.1,0.1,3e-4,1e-4,0.083333333,4.745e-4,1e-4,1e-4,0.2,0.001793297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.102996064,0.028310605,0.001801927,0.98,0.12,0.12244898,0.023515597,66.59538293,NA,NA,NA
645,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.081678089,0.043351897,0.002934727,1.23,0.182,0.14796748,0.029925951,62.01598293,NA,NA,NA
646,DRGL5,Caryophyllaceae,Drymaria,glandulosa,Drymaria,glandulosa,y,C3,a,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.191032865,0.034713251,0.002198013,2.72,0.2,0.073529412,0.038527978,90.9912847,NA,NA,NA
697,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,core_creosote,10.41352756,10,TRUE,0.2553,0.0874,119.1479126,0.342342342,FALSE,3.001,2.479444444,-28.50955556,1.615793201,47.26683268,29.25302114,0.1392,80.2,1.6,1.2,0.0253,48.9,0.8,0.7,0.0567,0.0567,0.407327586,4.56162e-4,0.0085,0.0079,0.312252964,3.65143e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,core_creosote,11.78320224,13,TRUE,0.2704,0.0837,140.7789993,0.30954142,FALSE,3.174,1.526444444,-30.29855556,1.281213883,45.35937122,35.40343406,0.0635,2.5,1.5,1.3,NA,NA,NA,NA,0.0217,0.0214,0.337007874,0.005551243,NA,NA,NA,NA,NA,NA,NA,134.54,27.701,0.205894158,NA,NA,NA,NA,NA
699,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,core_creosote,9.65288392,14,TRUE,0.2065,0.0715,135.0053695,0.346246973,FALSE,NA,NA,NA,NA,NA,NA,0.0492,51.6,0.9,1.1,NA,NA,NA,NA,0.0242,0.0249,0.506097561,6.12371e-4,NA,NA,NA,NA,NA,NA,NA,112.13,28.21,0.251582984,NA,NA,NA,NA,NA
700,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,core_creosote,6.27031004,10,TRUE,0.2037,0.0638,98.28072163,0.313205695,FALSE,NA,NA,NA,NA,NA,NA,0.0837,55.5,1.2,1,0.0256,39,0.9,0.8,0.0244,0.0245,0.292712067,4.63237e-4,0.0103,0.0111,0.43359375,5.00992e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,core_creosote,12.12513704,19,TRUE,0.255,0.0878,138.0995107,0.344313725,FALSE,3.347,2.429444444,-29.80155556,1.205079578,45.81500871,38.01824341,0.0653,55.3,1.2,1.1,NA,NA,NA,NA,0.0136,0.0135,0.206738132,2.34882e-4,NA,NA,NA,NA,NA,NA,NA,93.32,23.43,0.251071582,NA,NA,NA,NA,NA
786,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.085,12,1.42375
787,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.99,12,2.249166667
788,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.967,13,1.843615385
789,ELEL5,Poaceae,Elymus,elymoides,Elymus,elymoides,y,C3,p,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.947,8,1.993375
219,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_blue,1.72838364,6,FALSE,0.0212,0.0071,243.4343155,0.33490566,FALSE,NA,NA,NA,NA,NA,NA,0.0042,13.4,0.3,0.2,0.0028,44,0.1,0.1,0.0016,0.0015,0.357142857,0.002250425,8e-4,5e-4,0.178571429,0.001446864,NA,NA,NA,NA,NA,NA,NA,NA,3.355,11,0.305
231,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_blue,2.05096364,8,FALSE,0.0218,0.0084,244.1623381,0.385321101,FALSE,NA,NA,NA,NA,NA,NA,0.0037,10.2,0.4,0.3,NA,NA,NA,NA,0.0017,0.0013,0.351351351,0.001315749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_blue,1.67677084,7,TRUE,0.0256,0.0135,124.2052474,0.52734375,FALSE,3.185,1.855757143,-13.92771429,1.277320634,45.56193687,35.66992941,0.0054,18.3,0.4,0.4,NA,NA,NA,NA,0.0028,0.0025,0.462962963,0.001087125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_blue,2.69612364,12,FALSE,0.0299,0.0109,247.3507927,0.364548495,FALSE,3.256,2.336757143,-14.73471429,1.322194102,44.38727377,33.57092103,0.0056,19.2,0.6,0.4,NA,NA,NA,NA,0.0019,0.0017,0.303571429,4.45006e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_blue,3.21999356,5,TRUE,0.0344,0.0111,290.0895099,0.322674419,FALSE,3.284,1.975757143,-14.41371429,1.233446071,45.10248436,36.56623945,0.0143,30.4,0.7,0.5,NA,NA,NA,NA,0.0064,0.0063,0.440559441,7.26227e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_blue,2.69418816,7,FALSE,0.0329,0.0093,289.6976516,0.282674772,FALSE,NA,NA,NA,NA,NA,NA,0.013,37.1,0.5,0.6,NA,NA,NA,NA,0.0059,0.0057,0.438461538,6.44898e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.7234565,0.037579276,0.131848544,208.65,19.03,0.091205368,0.087004843,144.3322724,NA,NA,NA
548,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.6417357,0.058168285,0.149283971,185.71,14.83,0.079855689,0.126060704,99.34087275,NA,NA,NA
549,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.34080572,0.039237012,0.083696005,157.97,9.15,0.05792239,0.102416806,109.324214,NA,NA,NA
790,ENDE,Poaceae,Enneapogon,desvauxii,Enneapogon,desvauxii,y,C4,p,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.089,20,0.15445
4,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_black,NA,NA,NA,NA,0.1965,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_black,11.87868592,5,FALSE,1.3245,0.5972,19.89063282,0.450887127,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2387,0.2388,NA,NA,2.0615,2.0673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_creosote,4.6645068,5,TRUE,0.5161,0.2332,20.00217324,0.451850417,FALSE,3.012,2.594757143,-24.87671429,1.107160192,47.33241243,42.75118702,0.2142,14.8,3.7,3.7,NA,NA,NA,NA,0.1047,0.1044,0.487394958,6.56063e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_creosote,4.08128216,5,TRUE,0.4511,0.2289,17.82997886,0.507426291,FALSE,NA,NA,NA,NA,NA,NA,0.4374,25.7,3.6,3.6,NA,NA,NA,NA,0.2331,0.2329,0.532464563,8.90311e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_creosote,3.57547672,5,TRUE,0.359,0.164,21.80168732,0.456824513,FALSE,NA,NA,NA,NA,NA,NA,0.3116,25.5,3.7,3.8,NA,NA,NA,NA,0.1603,0.16,0.513478819,5.6807e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_creosote,5.14579616,5,TRUE,0.619,0.299,17.2100206,0.483037157,FALSE,3.025,1.695757143,-24.29071429,1.257633,47.00067687,37.3723311,0.7029,34.7,4.8,4.6,NA,NA,NA,NA,0.3615,0.3611,0.513728838,5.99718e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,core_creosote,4.36515256,5,TRUE,0.5088,0.2338,18.67045577,0.459512579,FALSE,3.129,2.482757143,-25.38771429,1.320119364,47.75435096,36.17426746,0.2759,28,3.1,3.2,NA,NA,NA,NA,0.1399,0.1396,0.505980428,6.39706e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.833,5,4.1666
792,EPTO,Ephedraceae,Ephedra,torreyana,Ephedra,torreyana,y,C3,p,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.971,7,4.995857143
410,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,3.68321844,4,TRUE,0.0372,0.0072,511.5581167,0.193548387,FALSE,3.187,3.778457143,-15.71571429,2.95827074,43.52215542,14.71202579,0.0339,21.4,0.4,0.5,0.0017,40.3,0.1,0.1,0.0036,0.0036,0.10619469,0.001053393,8e-4,8e-4,0.470588235,0.002527525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,2.88773616,4,FALSE,0.0282,0.0064,451.208775,0.226950355,FALSE,NA,NA,NA,NA,NA,NA,0.0207,18.7,0.3,0.4,0.0024,47.8,0.2,0.1,0.0035,0.0031,0.149758454,0.001711394,0.0012,8e-4,0.333333333,9.13263e-4,NA,NA,NA,NA,NA,NA,NA,NA,9.515,19,0.500789474
412,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,3.12773568,6,FALSE,0.0314,0.0068,459.9611294,0.21656051,FALSE,2.86,3.160757143,-15.46171429,2.952065085,45.30673306,15.34747092,0.0137,14.2,0.2,0.3,0.0013,36.8,0.3,0.1,0.0011,7e-4,0.051094891,9.91032e-4,9e-4,4e-4,0.307692308,3.19375e-4,NA,NA,NA,NA,NA,NA,NA,NA,0.466,4,0.1165
413,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,1.32064252,2,FALSE,0.0148,0.0038,347.5375053,0.256756757,FALSE,NA,NA,NA,NA,NA,NA,0.0484,24.7,0.6,0.6,0.0013,35.8,0.2,0.1,0.0062,0.0062,0.128099174,8.87775e-4,8e-4,5e-4,0.384615385,7.62115e-4,NA,NA,NA,NA,NA,NA,NA,NA,8.376,5,1.6752
414,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,3.03805844,4,FALSE,0.0308,0.0073,416.172389,0.237012987,FALSE,2.81,5.228757143,-15.34471429,2.171641904,44.8927611,20.67226692,0.0202,18,0.4,0.2,0.0021,43.7,0.1,0.2,0.0025,0.0024,0.118811881,0.001818915,0.0014,0.0012,0.571428571,0.00149842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.87992628,0.054753749,0.03796528,26.88,3.55,0.132068452,0.107968612,93.50648885,NA,NA,NA
607,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.10677534,0.045104367,0.054313192,68.52,6.21,0.090630473,0.091180356,114.3368627,NA,NA,NA
608,ERCI,Poaceae,Eragrostis,cilianensis,Eragrostis,cilianensis,n,C4,a,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.64234323,0.03571546,0.037400729,37.29,3.55,0.095199785,0.083250585,94.91793476,NA,NA,NA
208,ERAB2,Polygonaceae,Eriogonum,abertianum,Eriogonum,abertianum,y,C3,a,f,core_creosote,1.79483512,5,TRUE,0.0619,0.0089,201.6668674,0.143780291,FALSE,NA,NA,NA,NA,NA,NA,0.0879,14.5,2.4,2,0.1116,18.2,2.5,2.4,0.0349,0.0346,0.393629124,6.26006e-4,0.0458,0.0455,0.407706093,5.30222e-4,NA,NA,NA,NA,NA,NA,NA,NA,3.447,15,0.2298
