"","sampleID","Kartez","family","genus_new","species_new","genus_old","species_old","Native","PhotoPath","LifeHistory","FunctionalGroup","site","lf_sum_area","lf_n_pieces","lf_whole_ind","lf_wet_mass","lf_dry_mass","sla","ldmc","lf_petiole_ind","lf_iso_mass","lf_iso_d15N","lf_iso_d13C","lf_iso_pN","lf_iso_pC","taxon","mean.c.percent_taxon","mean.n.value_taxon"
"16","287","APRAH","Asteraceae","Aphanostephus","ramosissimus","Aphanostephus","ramosissimus","y","C3","p","f","core_black",5.09224788,5,TRUE,0.1153,0.0154,330.6654468,0.133564614,FALSE,3.043,1.5072875,-30.818625,3.027276155,47.71770893,"Aphanostephus ramosissimus",47.617994025,2.3662716875
"17","415","ARAD","Poaceae","Aristida","adscensionis","Aristida","adscensionis","y","C4","a","g","core_blue",4.73999052,6,FALSE,0.048,0.0177,267.7960746,0.36875,FALSE,3.094,3.4596875,-15.628625,1.708700474,44.20269327,"Aristida adscensionis",43.83837783,1.56895411
"18","416","ARAD","Poaceae","Aristida","adscensionis","Aristida","adscensionis","y","C4","a","g","core_blue",4.27289468,6,FALSE,0.0484,0.0181,236.0715293,0.373966942,FALSE,3.238,3.0073875,-15.647625,1.638641107,42.64084799,"Aristida adscensionis",43.83837783,1.56895411
"19","417","ARAD","Poaceae","Aristida","adscensionis","Aristida","adscensionis","y","C4","a","g","core_blue",3.532251,3,TRUE,0.0384,0.0121,291.9215702,0.315104167,FALSE,3.334,3.5896875,-15.266625,1.359520749,44.67159223,"Aristida adscensionis",43.83837783,1.56895411
"20","255","ARPU9","Poaceae","Aristida","purpurea","Aristida","purpurea","y","C4","p","g","core_blue",4.59934564,9,TRUE,0.1231,0.0501,91.80330619,0.40698619,FALSE,3.133,1.2176875,-14.364625,1.259478595,44.79171559,"Aristida purpurea",44.9310203133333,1.188203481
"21","257","ARPU9","Poaceae","Aristida","purpurea","Aristida","purpurea","y","C4","p","g","core_blue",5.66256932,9,TRUE,0.151,0.0583,97.1281187,0.386092715,FALSE,3.15,1.4546875,-13.913625,1.102837435,45.31325302,"Aristida purpurea",44.9310203133333,1.188203481
"22","258","ARPU9","Poaceae","Aristida","purpurea","Aristida","purpurea","y","C4","p","g","core_blue",6.10256844,8,TRUE,0.1656,0.0712,85.7102309,0.429951691,FALSE,3.029,0.9996875,-14.327625,1.202294413,44.68809233,"Aristida purpurea",44.9310203133333,1.188203481
"23","282","ASFE2","Fabaceae","Astragalus","missouriensis","Astragalus","missouriensis","y","C3","p","f","core_black",2.04386688,5,TRUE,0.0513,0.0146,139.9908822,0.28460039,FALSE,3.175,1.1176875,-27.217625,4.867976401,46.98243112,"Astragalus missouriensis",45.9729666833333,4.62129185333333
"24","283","ASFE2","Fabaceae","Astragalus","missouriensis","Astragalus","missouriensis","y","C3","p","f","core_black",1.86709304,5,TRUE,0.0545,0.0138,135.2965971,0.253211009,FALSE,3.055,1.3946875,-28.209625,4.781776707,45.92979373,"Astragalus missouriensis",45.9729666833333,4.62129185333333
"25","290","ASFE2","Fabaceae","Astragalus","missouriensis","Astragalus","missouriensis","y","C3","p","f","core_black",2.81483308,5,TRUE,0.0835,0.0207,135.9822744,0.247904192,TRUE,3.283,0.2286875,-29.220625,4.214122452,45.0066752,"Astragalus missouriensis",45.9729666833333,4.62129185333333
"26","340","ASNU4","Fabaceae","Astragalus","nuttallianus","Astragalus","nuttallianus","y","C3","p","f","core_PJ",2.63418828,10,TRUE,0.0592,0.012,219.51569,0.202702703,FALSE,3.187,-0.3333125,-26.293625,6.05636506,46.28154292,"Astragalus nuttallianus",45.67891478,5.2344350375
"27","341","ASNU4","Fabaceae","Astragalus","nuttallianus","Astragalus","nuttallianus","y","C3","p","f","core_PJ",2.3483824,10,TRUE,0.0553,0.0126,186.3795556,0.227848101,FALSE,2.939,-0.4853125,-28.708625,4.412505015,45.07628664,"Astragalus nuttallianus",45.67891478,5.2344350375
"28","2020A_37","ATCA2","Chenopodiaceae","Atriplex","canescens","Atriplex","canescens","y","C4","p","s","core_black",5.741924,10,TRUE,0.228,0.081,70.88795062,0.355263158,FALSE,6.025,5,-15.7,2.9,43,"Atriplex canescens",43.9,2.8
"29","2020A_38","ATCA2","Chenopodiaceae","Atriplex","canescens","Atriplex","canescens","y","C4","p","s","core_black",3.999992,10,TRUE,0.167,0.051,78.43121569,0.305389222,FALSE,6.048,6.9,-15.3,2.5,43.6,"Atriplex canescens",43.9,2.8
"30","2020A_39","ATCA2","Chenopodiaceae","Atriplex","canescens","Atriplex","canescens","y","C4","p","s","core_black",5.548376,10,TRUE,0.207,0.077,72.05683117,0.371980676,FALSE,5.993,5.1,-15.9,3,45.1,"Atriplex canescens",43.9,2.8
"31","140","BAABA","Asteraceae","Bahia","absinthifolia","Bahia","absinthifolia","y","C3","p","f","core_creosote",6.77418,5,TRUE,0.2914,0.0579,116.9979275,0.198695951,FALSE,3.13,0.2186875,-27.542625,2.780446315,44.35489264,"Bahia absinthifolia",43.5780877466667,2.32802595666667
"32","141","BAABA","Asteraceae","Bahia","absinthifolia","Bahia","absinthifolia","y","C3","p","f","core_creosote",8.62514404,5,TRUE,0.3487,0.0826,104.42063,0.236879839,FALSE,3.056,1.4766875,-28.899625,2.107655827,44.03512263,"Bahia absinthifolia",43.5780877466667,2.32802595666667
"33","149","BAABA","Asteraceae","Bahia","absinthifolia","Bahia","absinthifolia","y","C3","p","f","core_creosote",7.82191984,5,TRUE,0.3553,0.0536,145.9313403,0.150858429,FALSE,3.011,1.6636875,-30.500625,2.095975728,42.34424797,"Bahia absinthifolia",43.5780877466667,2.32802595666667
"34","324","BELY","Asteraceae","Berlandiera","lyrata","Berlandiera","lyrata","y","C3","p","f","core_blue",16.5870636,5,TRUE,0.5451,0.0919,180.4903547,0.168592919,FALSE,3.234,2.8270875,-28.597625,3.386633058,49.68726603,"Berlandiera lyrata",47.69299665,3.3858237065
"35","734","BELY","Asteraceae","Berlandiera","lyrata","Berlandiera","lyrata","y","C3","p","f","core_blue",41.97217412,4,TRUE,1.2469,0.2452,171.1752615,0.196647686,FALSE,3.28,0.191444444,-30.00455556,3.385014355,45.69872727,"Berlandiera lyrata",47.69299665,3.3858237065
