,,,,,,,,,,,,,,,,isotope packing,,,,,,,
position,Box #,col_a-g,row_1-7,site,plot,trt,taxon,rep,multi_envelope,extra_envelope,vial ID / sample ID,extra needed?,Notes,who,ground,uc davis weight ideal,weight,plate,well id,comment_isotope,comment_minig,comment_problems,why
114,3,B,3,temple,18,npk,SOHA,1,001,,multi_tmpl_18_npk_SOHA_01_001_hard,no,all smpl used,mk,yes,,,2,B6,,,,
115,3,C,3,lubb,27,npk,PRGL2,3,150,152,multi_lubb_27_npk_PRGL2_03_150_hard,no,,hg,yes,,,2,B7,,,,
116,3,D,3,lubb,27,npk,PRGL2,4,151,153,multi_lubb_27_npk_PRGL2_04_151_hard,no,,hg,yes,,,2,B8,,,,
117,3,E,3,lubb,27,npk,PRGL2,2,036,038,multi_lubb_27_npk_PRGL2_02_036_hard,added,"all smpl used, extra added",hg,yes,,,2,B9,,,,
118,3,F,3,lubb,28,ctl,PRGL2,2,051,053,multi_lubb_28_ctl_PRGL2_02_051_hard,no,all smpl used,hg,yes,,,2,B10,,,,
119,3,G,3,lubb,8,ctl,PRGL2,2,146,144,multi_lubb_08_ctl_PRGL2_02_146_hard,no,,hg,yes,,,2,B11,,,,
120,3,A,4,lubb,37,ctl,PRGL2,3,141,142,multi_lubb_37_ctl_PRGL2_03_141_hard,no,,hg,yes,,,2,B12,,,,
121,3,B,4,lubb,37,ctl,PRGL2,2,087,089,multi_lubb_37_ctl_PRGL2_02_087_hard,no,,hg,yes,,,2,C1,,,,
122,3,C,4,lubb,27,npk,PRGL2,1,126,128,multi_lubb_27_npk_PRGL2_01_126,added,"all smpl used, all extra added",hg,yes,,,2,C2,,,,
123,3,D,4,lubb,28,ctl,PRGL2,1,120,122,multi_lubb_28_ctl_PRGL2_01_120,no,,hg,yes,,,2,C3,,,,
124,3,E,4,lubb,8,ctl,PRGL2,7,178,180,multi_lubb_08_ctl_PRGL2_07_178_hard,added,"all smpl used, extra added",hg,yes,,,2,C4,,,,
125,3,F,4,lubb,27,npk,PRGL2,5,172,174,multi_lubb_27_npk_PRGL2_05_172_hard,added,"all smpl used, extra added",hg,yes,,,2,C5,,,,
126,3,G,4,lubb,8,ctl,PRGL2,8,181,183,multi_lubb_08_ctl_PRGL2_08_181_hard,no,all smpl used,hg,yes,,,2,C6,,,,
127,3,A,5,lubb,8,ctl,PRGL2,9,184,186,multi_lubb_08_ctl_PRGL2_09_184,added,"all smpl used, extra added",hg,yes,,,2,C7,,,,
128,3,B,5,lubb,27,npk,PRGL2,6,175,177,multi_lubb_27_npk_PRGL2_06_175_hard,no,all smpl used,hg,yes,,,2,C8,,,,
129,3,C,5,lubb,8,ctl,ARHUH,1,166,168,multi_lubb_08_ctr_ARHUH_01_166,added,"all smpl used, extra added",mk,yes,,,2,C9,,,,
130,3,D,5,lubb,8,ctl,ARHUH,2,169,171,multi_lubb_08_ctl_arhuh_02_169,added,"all smpl used, extra added",mk,yes,,,2,C10,,,,
131,3,E,5,lubb,5,npk,BOGR2,1,160,162,multi_lubb_05_npk_bogr2_01_160,added,"all smpl used, extra added",mk,yes,,,2,C11,,,,
132,3,F,5,lubb,5,npk,BOGR2,2,012,014,multi_lubb_05_npk_bogr2_02_012_hard,added,"all smpl used, extra added",mk,yes,,,2,C12,,,,
133,3,G,5,lubb,8,ctl,BOGR2,1,163,165,multi_lubb_05_npk_bogr2_01_163,added,"all smpl used, extra added",mk,yes,,,2,D1,,,,
134,3,A,6,lubb,8,ctl,BOGR2,2,027,029,multi_lubb_08_ctl_bogr2_02_027_hard,added,"all smpl used, all extra added",mk,yes,,,2,D2,,,,
